edgeID,startNode,endNode
ACONF00102_AHALL00102,ACONF00102,AHALL00102
ACONF00103_AHALL00503,ACONF00103,AHALL00503
ACONF0010G_AHALL0060G,ACONF0010G,AHALL0060G
ACONF0010G_AHALL0070G,ACONF0010G,AHALL0070G
ACONF0010G_AHALL0080G,ACONF0010G,AHALL0080G
ADEPT00101_AHALL00401,ADEPT00101,AHALL00401
ADEPT00102_AHALL00502,ADEPT00102,AHALL00502
ADEPT0010G_AHALL0040G,ADEPT0010G,AHALL0040G
ADEPT00201_AHALL00601,ADEPT00201,AHALL00601
ADEPT0020G_AHALL0110G,ADEPT0020G,AHALL0110G
ADEPT00301_AHALL00701,ADEPT00301,AHALL00701
AELEV00S01_AELEV00S02,AELEV00S01,AELEV00S02
AELEV00S01_AELEV00S03,AELEV00S01,AELEV00S03
AELEV00S01_AELEV00S0G,AELEV00S01,AELEV00S0G
AELEV00S01_AELEV00SL2,AELEV00S01,AELEV00SL2
AELEV00S01_AHALL00801,AELEV00S01,AHALL00801
AELEV00S02_AELEV00S03,AELEV00S02,AELEV00S03
AELEV00S02_AELEV00S0G,AELEV00S02,AELEV00S0G
AELEV00S02_AELEV00SL2,AELEV00S02,AELEV00SL2
AELEV00S02_AHALL00402,AELEV00S02,AHALL00402
AELEV00S03_AELEV00S0G,AELEV00S03,AELEV00S0G
AELEV00S03_AELEV00SL2,AELEV00S03,AELEV00SL2
AELEV00S03_AHALL00103,AELEV00S03,AHALL00103
AELEV00S0G_AELEV00SL2,AELEV00S0G,AELEV00SL2
AELEV00S0G_AHALL0090G,AELEV00S0G,AHALL0090G
AELEV00SL2_AHALL001L2,AELEV00SL2,AHALL001L2
AEXIT0010G_AHALL0010G,AEXIT0010G,AHALL0010G
AEXIT001L2_AHALL002L2,AEXIT001L2,AHALL002L2
AHALL00101_AHALL00201,AHALL00101,AHALL00201
AHALL00101_AHALL00901,AHALL00101,AHALL00901
AHALL00101_AHALL01001,AHALL00101,AHALL01001
AHALL00101_ARETL00101,AHALL00101,ARETL00101
AHALL00101_ASTAI00101,AHALL00101,ASTAI00101
AHALL00102_AHALL00202,AHALL00102,AHALL00202
AHALL00102_AHALL00602,AHALL00102,AHALL00602
AHALL00103_AHALL00203,AHALL00103,AHALL00203
AHALL0010G_AHALL0020G,AHALL0010G,AHALL0020G
AHALL0010G_AHALL0050G,AHALL0010G,AHALL0050G
AHALL001L2_AHALL002L2,AHALL001L2,AHALL002L2
AHALL00201_AHALL00301,AHALL00201,AHALL00301
AHALL00201_AHALL00901,AHALL00201,AHALL00901
AHALL00201_AHALL01001,AHALL00201,AHALL01001
AHALL00201_ASTAI00101,AHALL00201,ASTAI00101
AHALL00202_AHALL00302,AHALL00202,AHALL00302
AHALL00202_ASTAI00102,AHALL00202,ASTAI00102
